drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID330106,RIDNYEastLongIsland,39,30313.02,11105.02,6943.48
DRG039,PID330167,RIDNYEastLongIsland,43,28110.2,9347.93,6711.51
DRG039,PID330182,RIDNYEastLongIsland,83,25982.95,7430.87,5496.63
DRG039,PID330185,RIDNYEastLongIsland,33,18674.96,6925.93,5528
DRG039,PID330195,RIDNYEastLongIsland,11,58074.18,13895.09,13280.54
DRG039,PID330198,RIDNYEastLongIsland,18,20792.16,7556.05,5775.77
DRG039,PID330286,RIDNYEastLongIsland,39,22250.25,7949.64,5889.56
DRG039,PID330401,RIDNYEastLongIsland,14,37826.57,6873.42,5914.57
DRG057,PID330014,RIDNYEastLongIsland,23,10361.56,11044.04,10165.08
DRG057,PID330027,RIDNYEastLongIsland,29,19184.72,11271.89,10454.37
DRG057,PID330043,RIDNYEastLongIsland,28,23465.85,7271.57,6392.42
DRG057,PID330045,RIDNYEastLongIsland,58,26444.43,6192.51,5338.5
DRG057,PID330055,RIDNYEastLongIsland,38,23346.68,9007.28,8238.65
DRG057,PID330106,RIDNYEastLongIsland,108,52757.82,9947.56,8684.89
DRG057,PID330107,RIDNYEastLongIsland,18,28914.94,6906.77,5545.33
DRG057,PID330128,RIDNYEastLongIsland,18,28423.72,12485.94,11677.27
DRG057,PID330141,RIDNYEastLongIsland,28,40757.89,6591.07,5628.78
DRG057,PID330167,RIDNYEastLongIsland,49,36405.81,8971.28,6896.36
DRG057,PID330181,RIDNYEastLongIsland,30,24101.1,6535.73,5718.3
DRG057,PID330182,RIDNYEastLongIsland,19,38260.63,6290.94,5519.78
DRG057,PID330185,RIDNYEastLongIsland,23,26293.08,6590.13,4767.6
DRG057,PID330193,RIDNYEastLongIsland,31,15972.45,10486.77,9687.54
DRG057,PID330195,RIDNYEastLongIsland,44,41033.38,10629.31,9800.38
DRG057,PID330198,RIDNYEastLongIsland,37,23067.05,6629.02,5777.56
DRG057,PID330231,RIDNYEastLongIsland,11,12341.54,11790.72,11279.09
DRG057,PID330246,RIDNYEastLongIsland,12,44348.5,7597.91,6473.83
DRG057,PID330259,RIDNYEastLongIsland,24,23045.79,6402.87,5578.79
DRG057,PID330286,RIDNYEastLongIsland,33,27216.42,6725,5344.75
DRG057,PID330331,RIDNYEastLongIsland,41,32401.97,6842.36,6443.78
DRG057,PID330332,RIDNYEastLongIsland,14,24708.92,6271.14,5469.42
DRG057,PID330340,RIDNYEastLongIsland,32,25678.43,7036.34,6173.31
DRG057,PID330353,RIDNYEastLongIsland,38,19176.07,8251.13,7440.34
DRG057,PID330372,RIDNYEastLongIsland,21,27153.71,6559.04,5648.76
DRG057,PID330393,RIDNYEastLongIsland,42,40047.09,11410.88,9982.21
DRG057,PID330395,RIDNYEastLongIsland,20,21811.05,12575.3,12014.1
DRG057,PID330401,RIDNYEastLongIsland,27,32806.81,6236.44,5072.81
DRG064,PID330002,RIDNYEastLongIsland,12,36450.5,17272.16,16638.08
DRG064,PID330014,RIDNYEastLongIsland,18,18095.16,21977.22,21044.55
DRG064,PID330027,RIDNYEastLongIsland,40,47327.65,24462.42,23621.42
DRG064,PID330043,RIDNYEastLongIsland,32,50350.9,15897,13053.46
DRG064,PID330045,RIDNYEastLongIsland,35,44265.77,11955.48,10743.82
DRG064,PID330055,RIDNYEastLongIsland,82,54531.6,18347.54,17493.17
DRG064,PID330106,RIDNYEastLongIsland,143,69659.32,17776.32,16042.83
DRG064,PID330107,RIDNYEastLongIsland,14,45852.78,13255.21,12453.5
DRG064,PID330128,RIDNYEastLongIsland,30,42784.96,24756.7,23895.26
DRG064,PID330141,RIDNYEastLongIsland,50,84705.9,13719.16,12145.76
DRG064,PID330167,RIDNYEastLongIsland,44,93625.52,18242.36,15284.75
DRG064,PID330181,RIDNYEastLongIsland,14,45481.28,13215.5,12411.5
DRG064,PID330182,RIDNYEastLongIsland,32,64623.53,14327.34,11852.25
DRG064,PID330185,RIDNYEastLongIsland,21,43737.9,12241.04,11276.85
DRG064,PID330193,RIDNYEastLongIsland,18,41617.72,20315.33,19566
DRG064,PID330195,RIDNYEastLongIsland,39,99744.74,25541.41,22629.05
DRG064,PID330198,RIDNYEastLongIsland,43,62655.86,14262.74,13033.41
DRG064,PID330259,RIDNYEastLongIsland,31,53130.58,14247.7,12301.29
DRG064,PID330286,RIDNYEastLongIsland,46,77561.78,14371.19,12425.84
DRG064,PID330331,RIDNYEastLongIsland,17,41885.88,14238.64,13515.58
DRG064,PID330332,RIDNYEastLongIsland,27,51492.25,12548.7,11844.25
DRG064,PID330353,RIDNYEastLongIsland,32,37497.96,16127.25,15376.18
DRG064,PID330372,RIDNYEastLongIsland,25,53387.08,13294.92,12398.28
DRG064,PID330393,RIDNYEastLongIsland,54,50435.53,18515.37,17052.92
DRG064,PID330395,RIDNYEastLongIsland,13,47059.23,24623.15,23759.76
DRG064,PID330401,RIDNYEastLongIsland,41,61050.29,12896.34,10931
DRG065,PID330002,RIDNYEastLongIsland,23,27891.6,11220.21,10390.47
DRG065,PID330014,RIDNYEastLongIsland,64,17529.68,14234.23,13218.29
DRG065,PID330027,RIDNYEastLongIsland,23,24851.04,13894.3,13013.95
DRG065,PID330043,RIDNYEastLongIsland,43,30904.09,8925.32,8091.83
DRG065,PID330045,RIDNYEastLongIsland,68,33867.22,7745.85,6476.13
DRG065,PID330055,RIDNYEastLongIsland,58,31242,11544.39,10370.01
DRG065,PID330106,RIDNYEastLongIsland,125,51843.98,12091.3,9771.9
DRG065,PID330107,RIDNYEastLongIsland,25,31835.64,8310.68,7410.2
DRG065,PID330128,RIDNYEastLongIsland,27,29041.62,15653,14822.77
DRG065,PID330141,RIDNYEastLongIsland,37,61703.78,8392.24,7693.75
DRG065,PID330167,RIDNYEastLongIsland,74,63269.22,10564.47,9446.63
DRG065,PID330181,RIDNYEastLongIsland,32,30609.5,8192.21,7595.84
DRG065,PID330182,RIDNYEastLongIsland,56,39625.19,9025.91,6157.67
DRG065,PID330185,RIDNYEastLongIsland,36,37964.77,8451.3,6549.19
DRG065,PID330193,RIDNYEastLongIsland,36,22302.94,13096.72,11873.75
DRG065,PID330195,RIDNYEastLongIsland,70,51947.87,14117.82,11696.67
DRG065,PID330198,RIDNYEastLongIsland,61,38704.34,8558.32,7302.26
DRG065,PID330231,RIDNYEastLongIsland,15,23037.93,15770.66,14867.2
DRG065,PID330259,RIDNYEastLongIsland,42,36220.66,8271.8,7003.35
DRG065,PID330286,RIDNYEastLongIsland,71,43895.64,8745.59,7612.63
DRG065,PID330331,RIDNYEastLongIsland,51,38544.31,8832.66,7628.6
DRG065,PID330332,RIDNYEastLongIsland,41,34122.41,7822,6943.95
DRG065,PID330340,RIDNYEastLongIsland,18,39937.83,9228.88,8572.11
DRG065,PID330353,RIDNYEastLongIsland,40,32944.12,10151.2,8806.45
DRG065,PID330372,RIDNYEastLongIsland,48,32358.95,8040.39,7196.06
DRG065,PID330393,RIDNYEastLongIsland,60,33600.95,11320.33,10565.75
DRG065,PID330395,RIDNYEastLongIsland,21,35636.19,15785.14,15262.61
DRG065,PID330401,RIDNYEastLongIsland,59,47031.03,8153.76,6297.27
DRG066,PID330002,RIDNYEastLongIsland,17,17516.58,7765.88,6972.47
