drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID320063,RIDTXLubbock,11,42012.72,6232.18,5308.9
DRG039,PID450040,RIDTXLubbock,28,67464.6,5980.64,4840.78
DRG039,PID450686,RIDTXLubbock,14,31483.21,8026.92,7380.07
DRG039,PID450876,RIDTXLubbock,78,27882.1,5372.55,4267.38
DRG057,PID450040,RIDTXLubbock,17,56307.82,5749.29,4057.94
DRG057,PID450686,RIDTXLubbock,16,18093.56,7612.43,6273.62
DRG064,PID450040,RIDTXLubbock,79,112982.39,12705.01,11321.43
DRG064,PID450686,RIDTXLubbock,38,44331.86,14879.15,14022
DRG065,PID320063,RIDTXLubbock,16,35985.43,7084.75,6031.5
DRG065,PID320065,RIDTXLubbock,20,36881.95,8264.1,7361.7
DRG065,PID450040,RIDTXLubbock,104,68452.71,7020.5,5835
DRG065,PID450686,RIDTXLubbock,67,29029.91,9303.01,8154.44
DRG065,PID450876,RIDTXLubbock,15,21608.46,5661.6,4995.2
DRG066,PID450040,RIDTXLubbock,59,48062.57,5135.74,3520.86
DRG066,PID450686,RIDTXLubbock,26,23489.92,6420.53,5517.3
DRG069,PID320063,RIDTXLubbock,11,25449.54,4512.09,3391.72
DRG069,PID320065,RIDTXLubbock,16,23042.06,5435,4377.75
DRG069,PID450040,RIDTXLubbock,69,45055.36,4691.89,3220
DRG069,PID450653,RIDTXLubbock,13,21772.46,4583.38,2760.46
DRG069,PID450686,RIDTXLubbock,32,19257.93,5833.46,4760.9
DRG074,PID450040,RIDTXLubbock,16,67907.68,5388.12,4033.75
DRG074,PID450686,RIDTXLubbock,14,17358.64,7229.07,5451.5
DRG101,PID450040,RIDTXLubbock,68,49305.01,4716.85,3321.73
DRG101,PID450686,RIDTXLubbock,40,18371.87,6094.47,5056.6
DRG149,PID450040,RIDTXLubbock,16,42396.37,4180.12,2360
DRG149,PID450686,RIDTXLubbock,13,10893.76,5011.76,3892.07
DRG176,PID450040,RIDTXLubbock,21,61773.14,6183.28,5433.19
DRG176,PID450686,RIDTXLubbock,21,21209,8157.95,6462.04
