drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID490024,RIDVARoanoke,125,18347.33,6751.2,5631.16
DRG039,PID490042,RIDVARoanoke,35,21798.71,5712.37,4778.08
DRG039,PID490048,RIDVARoanoke,25,44097.56,5333,4567.08
DRG057,PID490024,RIDVARoanoke,19,16480.63,6390.78,5502.15
DRG057,PID490048,RIDVARoanoke,22,22834.13,5578.04,3915.36
DRG064,PID490024,RIDVARoanoke,134,33203.73,13543.7,11268.25
DRG064,PID490042,RIDVARoanoke,14,22088.92,9534.71,8809.28
DRG064,PID490048,RIDVARoanoke,44,46757.18,9418.59,8598.95
DRG064,PID490111,RIDVARoanoke,11,17115.63,9763.63,8949.09
DRG064,PID490116,RIDVARoanoke,13,38456.07,10351.15,9572.46
DRG064,PID510046,RIDVARoanoke,18,18424.66,9878.11,9011.88
DRG065,PID490024,RIDVARoanoke,144,23201.7,8054.06,6885.23
DRG065,PID490042,RIDVARoanoke,31,16916.06,6557.77,4565.06
DRG065,PID490048,RIDVARoanoke,117,25164.74,5983.84,4983.61
DRG065,PID490110,RIDVARoanoke,25,22400,6901.84,5446.36
DRG065,PID490111,RIDVARoanoke,16,18175.12,8007.56,6154.93
DRG065,PID490116,RIDVARoanoke,13,21707.38,6624,5763.07
DRG065,PID490126,RIDVARoanoke,15,25042.33,6787.46,5068
DRG065,PID510046,RIDVARoanoke,21,13471.95,6242.42,5389.09
DRG065,PID510071,RIDVARoanoke,21,13573.61,6740.19,6154.85
DRG066,PID490024,RIDVARoanoke,89,18422.01,7026.07,4100.25
DRG066,PID490042,RIDVARoanoke,13,16790.53,4506.53,3389.3
DRG066,PID490048,RIDVARoanoke,64,20576.78,4305.25,3223.4
DRG066,PID490126,RIDVARoanoke,11,15115.54,4526.81,3612.27
DRG066,PID510046,RIDVARoanoke,28,11784.71,4703.57,3360.21
DRG069,PID490024,RIDVARoanoke,116,15089.11,5027.82,3897.36
DRG069,PID490042,RIDVARoanoke,27,14253.03,4625.44,3001.29
DRG069,PID490048,RIDVARoanoke,56,19332.33,4018.39,2877.07
DRG069,PID490111,RIDVARoanoke,14,13823.57,4656.07,3768.92
DRG069,PID490116,RIDVARoanoke,22,14022.72,4423.59,3049.45
DRG069,PID490126,RIDVARoanoke,12,17011,4125,3095.33
DRG069,PID510046,RIDVARoanoke,30,9168.86,4071.2,3026.4
DRG069,PID510071,RIDVARoanoke,18,12514.66,4325.66,3385.88
DRG074,PID490024,RIDVARoanoke,24,14108.08,5782.95,4682.75
DRG101,PID490024,RIDVARoanoke,61,15946.77,5121.63,4105.18
DRG101,PID490048,RIDVARoanoke,22,22401.18,4559.27,2838.09
DRG101,PID510046,RIDVARoanoke,15,8138.6,4223,3479
DRG101,PID510071,RIDVARoanoke,16,8802.75,4474.12,3808
DRG149,PID490024,RIDVARoanoke,31,11093.19,4303.41,3392.58
DRG149,PID490048,RIDVARoanoke,12,24967.08,3345.91,2496.91
DRG176,PID490024,RIDVARoanoke,39,19799.02,7313.41,6205.51
DRG176,PID490042,RIDVARoanoke,15,18279.46,6485.06,4533.46
DRG176,PID490048,RIDVARoanoke,29,25715.86,5722.37,4582.93
DRG176,PID490126,RIDVARoanoke,11,22863.81,7113,4615.63
DRG176,PID510046,RIDVARoanoke,21,11200.28,5831.28,4293.85
DRG177,PID490024,RIDVARoanoke,53,30230.05,13455.64,12936.88
DRG177,PID490042,RIDVARoanoke,27,23529.14,10860.14,10331.51
DRG177,PID490048,RIDVARoanoke,23,40423.73,11204.43,9316.13
DRG177,PID490110,RIDVARoanoke,28,30901.39,11703.67,11023.25
DRG177,PID490116,RIDVARoanoke,12,23111,10941.08,10388.41
DRG177,PID490126,RIDVARoanoke,15,34269.86,10519.53,10144.33
DRG177,PID510046,RIDVARoanoke,18,25567.05,11443.66,10601.77
DRG177,PID510071,RIDVARoanoke,22,31227.86,13364.31,12499.09
DRG178,PID490024,RIDVARoanoke,34,20272.97,9389.05,8715
DRG178,PID490042,RIDVARoanoke,26,16136.96,7777.34,7088.11
DRG178,PID490048,RIDVARoanoke,20,37533.55,8551.05,6734.2
DRG178,PID490110,RIDVARoanoke,12,23853.83,7973,7270.83
DRG178,PID490111,RIDVARoanoke,11,21462.18,10302.54,7647.09
DRG178,PID490126,RIDVARoanoke,12,22661.5,8104.41,7454.75
DRG178,PID510046,RIDVARoanoke,26,16540.23,8244,7496.65
DRG178,PID510071,RIDVARoanoke,29,21343.1,9095.24,8651.31
DRG189,PID490024,RIDVARoanoke,150,20487.07,9241.7,7611.84
DRG189,PID490042,RIDVARoanoke,40,21312.1,7613.32,6419.52
DRG189,PID490048,RIDVARoanoke,116,27376.55,7684.56,5632
DRG189,PID490089,RIDVARoanoke,18,14720.88,8359.66,6714.05
DRG189,PID490110,RIDVARoanoke,62,21974.19,7649.2,7033.09
DRG189,PID490111,RIDVARoanoke,34,15537.82,8571.14,6865.88
DRG189,PID490116,RIDVARoanoke,39,19093.2,7273,6783.66
DRG189,PID490126,RIDVARoanoke,11,28763.09,10588.45,5954
DRG189,PID510046,RIDVARoanoke,86,17549.3,7784.18,6201.1
DRG189,PID510071,RIDVARoanoke,44,18860.34,7540.11,6813.04
DRG190,PID490024,RIDVARoanoke,88,19217.13,7869.09,7096.42
DRG190,PID490042,RIDVARoanoke,61,18651.19,7444.62,5220.19
DRG190,PID490048,RIDVARoanoke,99,23988.89,6621.77,4975.39
DRG190,PID490089,RIDVARoanoke,12,14555.41,7455.08,5736.5
DRG190,PID490110,RIDVARoanoke,36,19309.08,6809.66,5906.66
DRG190,PID490111,RIDVARoanoke,16,18484.5,7424.75,6436.25
DRG190,PID490116,RIDVARoanoke,42,16330.23,6584.85,5808.57
DRG190,PID490117,RIDVARoanoke,12,12915.5,6919.25,6355.91
DRG190,PID490126,RIDVARoanoke,50,21287.84,6639.64,6027.36
DRG190,PID510046,RIDVARoanoke,62,14056.12,6733.06,5683.69
DRG190,PID510071,RIDVARoanoke,84,14473.83,6986.9,6282.75
DRG190,PID510086,RIDVARoanoke,11,6496.81,13481.72,12661.36
DRG191,PID490024,RIDVARoanoke,117,13896.35,6518.33,5616.08
DRG191,PID490042,RIDVARoanoke,28,13159.42,5653.71,4421.85
DRG191,PID490048,RIDVARoanoke,81,24193.9,5433.75,4016.96
DRG191,PID490089,RIDVARoanoke,28,13123.25,5954.92,4853.46
DRG191,PID490110,RIDVARoanoke,32,15918.5,6001.18,4828.93
DRG191,PID490111,RIDVARoanoke,22,11559.54,5755.45,5145.27
DRG191,PID490116,RIDVARoanoke,40,14817.42,5527,4682.8
DRG191,PID490117,RIDVARoanoke,25,9218.8,5605.32,5065.8
DRG191,PID490126,RIDVARoanoke,31,16408.54,5614,4517.61
DRG191,PID510046,RIDVARoanoke,95,10235.15,5389.13,4414.03
DRG191,PID510071,RIDVARoanoke,144,11562.03,5703.65,4771.27
DRG192,PID490024,RIDVARoanoke,69,11489.95,4815.5,3925.07
DRG192,PID490042,RIDVARoanoke,25,11434.68,4372.28,2899.76
DRG192,PID490048,RIDVARoanoke,49,17493.22,4227.53,2641.73
DRG192,PID490089,RIDVARoanoke,26,11198.76,4483.42,3438.11
DRG192,PID490111,RIDVARoanoke,14,12059.21,4740.57,3458.92
DRG192,PID490116,RIDVARoanoke,30,10697.6,4099,3014.33
DRG192,PID490117,RIDVARoanoke,21,7567,4432.52,3258
DRG192,PID490126,RIDVARoanoke,24,15483.62,4074,3274.83
DRG192,PID510046,RIDVARoanoke,135,8819.39,4026.64,2993.71
DRG192,PID510071,RIDVARoanoke,50,8157.18,4216.8,3271.98
DRG192,PID510086,RIDVARoanoke,17,7236.76,8680,7803.35
DRG193,PID490024,RIDVARoanoke,140,22563.37,9978.55,8765.15
DRG193,PID490042,RIDVARoanoke,57,21730.24,8399.47,6749.17
DRG193,PID490048,RIDVARoanoke,105,31314.45,7823.74,6790.51
DRG193,PID490089,RIDVARoanoke,15,21965.86,9156.6,8332.86
DRG193,PID490110,RIDVARoanoke,66,30900.72,8674.59,7926.22
DRG193,PID490111,RIDVARoanoke,30,17000.5,8493.03,7782.5
DRG193,PID490116,RIDVARoanoke,34,23045.02,8578.41,7294.94
DRG193,PID490126,RIDVARoanoke,29,30961.55,8153.55,7842.34
DRG193,PID510046,RIDVARoanoke,30,20030.26,8010.43,7277.73
DRG193,PID510071,RIDVARoanoke,46,20751,8457.26,7822.3
DRG194,PID490024,RIDVARoanoke,114,15957.91,6774.4,5870.06
DRG194,PID490042,RIDVARoanoke,76,17845.38,5744.59,4564.77
DRG194,PID490048,RIDVARoanoke,137,21667.09,6032.24,4016.9
DRG194,PID490089,RIDVARoanoke,39,17329.84,6159.74,5238.3
DRG194,PID490110,RIDVARoanoke,40,18918.22,6102.6,5081.9
DRG194,PID490111,RIDVARoanoke,42,16860.64,6439.66,5382.47
DRG194,PID490116,RIDVARoanoke,49,16398.08,5866.63,4686.97
DRG194,PID490117,RIDVARoanoke,43,13362.16,5820.58,5183.34
DRG194,PID490126,RIDVARoanoke,52,19639.05,6122.65,4748.46
DRG194,PID510046,RIDVARoanoke,168,11484.6,5625.82,4637.49
DRG194,PID510071,RIDVARoanoke,54,10980.61,5929.03,5144.05
DRG194,PID510086,RIDVARoanoke,12,9899.91,12022.5,11273.16
DRG195,PID490024,RIDVARoanoke,38,12070.71,5242.65,3772.44
DRG195,PID490042,RIDVARoanoke,22,12954.63,4045.77,3078.31
DRG195,PID490048,RIDVARoanoke,43,18535.97,3797,2672
DRG195,PID490089,RIDVARoanoke,14,12732.42,5770.92,2986.14
DRG195,PID490111,RIDVARoanoke,15,10138.73,4274.4,3375.2
DRG195,PID490116,RIDVARoanoke,26,11513.5,4211.61,3119.57
DRG195,PID490117,RIDVARoanoke,14,12298.07,4474.42,3672.71
DRG195,PID490126,RIDVARoanoke,21,13836.9,4190.95,2704.76
DRG195,PID510046,RIDVARoanoke,58,7396.43,4122.22,2902.67
DRG195,PID510071,RIDVARoanoke,22,9301.04,4200.81,3192.9
DRG195,PID510086,RIDVARoanoke,14,8235.57,8520.42,7799.57
DRG202,PID490024,RIDVARoanoke,21,9781.23,5593.8,4524.85
DRG202,PID490042,RIDVARoanoke,11,14843.27,4725.81,3808.36
DRG202,PID490048,RIDVARoanoke,25,17060.52,4683.56,3422.08
DRG202,PID490110,RIDVARoanoke,13,14324.69,5390.92,3622.15
DRG202,PID490126,RIDVARoanoke,13,19277.3,4753,3807.46
DRG202,PID510071,RIDVARoanoke,15,9833.46,4944.4,3890
DRG203,PID490024,RIDVARoanoke,22,8530.22,4039.68,3326.59
DRG203,PID490048,RIDVARoanoke,18,16802.66,3184,2062.66
DRG203,PID490126,RIDVARoanoke,14,12505.21,3431,2308.14
DRG207,PID490024,RIDVARoanoke,48,119176.52,40166.81,37273.97
DRG207,PID490048,RIDVARoanoke,18,112166.05,27369.55,24885.38
DRG207,PID510046,RIDVARoanoke,22,43561.27,27636.68,25767.54
DRG207,PID510071,RIDVARoanoke,11,50002.45,29524.63,26323.45
DRG208,PID490024,RIDVARoanoke,84,40870.66,15097.95,14283.34
DRG208,PID490042,RIDVARoanoke,24,29329.29,13002.87,12533.83
DRG208,PID490048,RIDVARoanoke,24,60773.95,12329.95,11399.95
DRG208,PID490111,RIDVARoanoke,12,33569.33,14024.58,13511.08
DRG208,PID490116,RIDVARoanoke,12,49899.5,12889,12323
DRG208,PID510046,RIDVARoanoke,18,25587.55,12636.83,11027.61
DRG208,PID510071,RIDVARoanoke,30,24774.6,13264.66,12230.2
DRG238,PID490024,RIDVARoanoke,98,66310.87,23498.18,18441.8
DRG238,PID490042,RIDVARoanoke,19,76177.63,22052.78,16608.1
DRG238,PID490048,RIDVARoanoke,21,126137.09,18829.04,16918.57
DRG243,PID490024,RIDVARoanoke,54,50450.53,19596.59,15732.24
DRG243,PID490048,RIDVARoanoke,12,81431.25,14135.16,13191.91
DRG244,PID490024,RIDVARoanoke,39,39600.3,14522.23,11645.71
DRG244,PID490048,RIDVARoanoke,26,74837.42,11048.5,10052.07
DRG244,PID510046,RIDVARoanoke,18,29113.38,11405.66,10591.66
DRG246,PID490024,RIDVARoanoke,74,90348.7,25260.27,21782.66
DRG246,PID490048,RIDVARoanoke,13,104343,18934.07,13571.61
DRG247,PID490024,RIDVARoanoke,261,62376.76,15037.07,11532.12
DRG247,PID490048,RIDVARoanoke,62,87719.54,12977.11,8965.88
DRG249,PID490024,RIDVARoanoke,97,53963.82,12483.26,10415.7
DRG249,PID490048,RIDVARoanoke,35,82520.74,10442.34,8090.71
DRG251,PID490024,RIDVARoanoke,104,44662.88,12028.65,10729.57
DRG251,PID490048,RIDVARoanoke,17,91461.41,14849.35,7790.88
DRG252,PID490024,RIDVARoanoke,81,58630.77,21249.37,19746.06
DRG252,PID490048,RIDVARoanoke,20,104485.65,20382.4,19640.8
DRG253,PID490024,RIDVARoanoke,94,42710.68,17078.98,14446.01
DRG253,PID490042,RIDVARoanoke,21,49363.33,13545.9,12902.14
DRG253,PID490048,RIDVARoanoke,29,84831.86,15063.86,11782.96
DRG254,PID490024,RIDVARoanoke,61,24712.91,10799.42,9335.73
