drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID520028,RIDWIMadison,14,26927.64,6348.28,5384.85
DRG039,PID520066,RIDWIMadison,19,34971.68,8100.26,4915.84
DRG039,PID520083,RIDWIMadison,84,18466.98,7005.22,5860.41
DRG039,PID520089,RIDWIMadison,20,30381.65,7185.25,6059.65
DRG039,PID520098,RIDWIMadison,42,36295.07,10222.07,8605.42
DRG057,PID520066,RIDWIMadison,13,22139.23,6067.61,5288.84
DRG057,PID520083,RIDWIMadison,37,19116.4,5976.21,4901.72
DRG057,PID520098,RIDWIMadison,33,21241.45,9790.36,8902.36
DRG057,PID520109,RIDWIMadison,11,12864.81,5928.09,5010.63
DRG064,PID520066,RIDWIMadison,24,32793.25,11876.5,9930.45
DRG064,PID520083,RIDWIMadison,54,31072.87,11856.51,10635.24
DRG064,PID520089,RIDWIMadison,16,37952.75,12784.75,11939.75
DRG064,PID520098,RIDWIMadison,56,38390.33,20415.14,18065.39
DRG065,PID520028,RIDWIMadison,15,19105.06,7034.33,6355.13
DRG065,PID520066,RIDWIMadison,52,24319.28,6954.28,5957.82
DRG065,PID520071,RIDWIMadison,28,18120.53,6640.25,5677.96
DRG065,PID520076,RIDWIMadison,13,16480.3,6802.46,5931.69
DRG065,PID520083,RIDWIMadison,91,23518.54,7997.31,6410.92
DRG065,PID520089,RIDWIMadison,63,24742.57,8452.3,7101.95
DRG065,PID520098,RIDWIMadison,59,27188.67,13214.93,11252.76
DRG065,PID520100,RIDWIMadison,19,27978.68,6752.52,5806
DRG066,PID520028,RIDWIMadison,12,19748.83,5003.08,4065.08
DRG066,PID520066,RIDWIMadison,27,19739.51,5496.07,3971.74
DRG066,PID520071,RIDWIMadison,14,17337,4800.57,3915.71
DRG066,PID520083,RIDWIMadison,71,17602.01,5484.36,4481.69
DRG066,PID520089,RIDWIMadison,38,18866.02,6294.34,4580.05
DRG066,PID520098,RIDWIMadison,40,18946.2,8460.3,7019.67
DRG066,PID520100,RIDWIMadison,17,22996.17,4873.94,3814.17
DRG069,PID520041,RIDWIMadison,14,12449,5163.14,4276
DRG069,PID520066,RIDWIMadison,45,17414.17,4537.08,3586.86
DRG069,PID520083,RIDWIMadison,78,16982.64,4946.44,3975.55
DRG069,PID520089,RIDWIMadison,34,16209.08,5197.35,4340.17
DRG069,PID520098,RIDWIMadison,17,20114.41,7096.23,6112.47
DRG069,PID520100,RIDWIMadison,14,23623.64,4347.28,3462.42
DRG074,PID520089,RIDWIMadison,18,26357.61,6174.27,5238.05
DRG074,PID520083,RIDWIMadison,25,16178.52,5869.24,5060.6
DRG074,PID520098,RIDWIMadison,14,33310.28,11877.21,10325.42
DRG101,PID520066,RIDWIMadison,21,17584.38,4714.71,3805.95
DRG101,PID520083,RIDWIMadison,39,18505.46,5079.79,4446.15
DRG101,PID520089,RIDWIMadison,14,23902.57,5361.64,4557.64
DRG101,PID520098,RIDWIMadison,32,20308.71,8683.59,6756.68
DRG149,PID520083,RIDWIMadison,34,14350,4289.97,3121.35
DRG149,PID520089,RIDWIMadison,27,16710.37,4585.25,3584.96
DRG149,PID520100,RIDWIMadison,12,19318.75,3798.25,2676.91
DRG176,PID520066,RIDWIMadison,27,15609.85,6591.66,5632.11
DRG176,PID520083,RIDWIMadison,46,21750.78,7495.1,6204.15
DRG176,PID520089,RIDWIMadison,22,17071.22,7902.77,6517.09
DRG176,PID520098,RIDWIMadison,31,16461.48,10597.96,9146.54
DRG176,PID520100,RIDWIMadison,14,24492.28,6169.92,5363.64
DRG177,PID520066,RIDWIMadison,18,34470.33,12266.66,11830
DRG177,PID520083,RIDWIMadison,37,47778.62,14882.29,14152.35
DRG177,PID520089,RIDWIMadison,39,57410.12,15131.84,14497.35
DRG177,PID520098,RIDWIMadison,39,42907.94,22302.79,20904.48
DRG177,PID520116,RIDWIMadison,12,21005.58,12383.25,11584.08
DRG178,PID520028,RIDWIMadison,30,23365.7,8690.9,7731.9
DRG178,PID520041,RIDWIMadison,12,21847.25,9262.83,8156.25
DRG178,PID520066,RIDWIMadison,22,27743.36,9008.77,8341.31
DRG178,PID520071,RIDWIMadison,12,13687.83,8298.66,7832.33
DRG178,PID520083,RIDWIMadison,49,26982.59,9628.36,8905.77
DRG178,PID520089,RIDWIMadison,32,31919.68,10400,9311
DRG178,PID520098,RIDWIMadison,71,24204.97,14703.22,13388.76
DRG178,PID520100,RIDWIMadison,15,25740.6,9497.33,6680.93
DRG178,PID520116,RIDWIMadison,23,20154.69,9579.86,8964.65
DRG189,PID520066,RIDWIMadison,15,20860.8,7430.53,6608.93
DRG189,PID520083,RIDWIMadison,28,33990.32,9119.17,8519.6
DRG189,PID520089,RIDWIMadison,18,55241.16,16121.16,9563.88
DRG189,PID520098,RIDWIMadison,27,24463.22,14172.33,11148.92
DRG190,PID520028,RIDWIMadison,40,24770.75,7089.25,6186.85
DRG190,PID520041,RIDWIMadison,22,17023.95,8294.5,7424.13
DRG190,PID520057,RIDWIMadison,17,19479.82,7847.17,6928.11
DRG190,PID520066,RIDWIMadison,67,17932.88,7321.91,6405.44
DRG190,PID520071,RIDWIMadison,25,17789.52,7077.76,6265.28
DRG190,PID520076,RIDWIMadison,24,17009.2,6968.12,6077.29
DRG190,PID520083,RIDWIMadison,100,23727.94,7963.8,7067.88
DRG190,PID520089,RIDWIMadison,52,26949.73,8486.53,7707.76
DRG190,PID520095,RIDWIMadison,11,14707.27,7754.72,7140.18
DRG190,PID520098,RIDWIMadison,76,31663.26,14197.01,12070.89
DRG190,PID520100,RIDWIMadison,21,35228.19,6938.8,6190.23
DRG191,PID520028,RIDWIMadison,20,19226.7,6011.35,5112.15
DRG191,PID520041,RIDWIMadison,11,17460.09,6878,6157.63
DRG191,PID520057,RIDWIMadison,23,19205.04,6475.17,5160.39
DRG191,PID520066,RIDWIMadison,39,18009.28,6117.23,5281.23
DRG191,PID520071,RIDWIMadison,23,14619.52,5685.04,4952.34
DRG191,PID520076,RIDWIMadison,25,19319.68,5805.56,4748.76
DRG191,PID520083,RIDWIMadison,108,19699.86,6768.75,5816.28
DRG191,PID520089,RIDWIMadison,45,23458.86,6946.95,6098.06
DRG191,PID520098,RIDWIMadison,20,21759.45,10054.3,9321.65
DRG191,PID520100,RIDWIMadison,58,21149.1,5740.68,4866.82
DRG191,PID520109,RIDWIMadison,16,21175.62,6551,5570.5
DRG192,PID520028,RIDWIMadison,14,15954.28,4594.64,3096.42
DRG192,PID520041,RIDWIMadison,18,12787.94,5089.94,4213.05
DRG192,PID520057,RIDWIMadison,19,16947.57,4874.15,4162.57
DRG192,PID520066,RIDWIMadison,36,15693.36,4515.77,3546.33
DRG192,PID520071,RIDWIMadison,12,10641.25,4392.5,3376.41
DRG192,PID520076,RIDWIMadison,18,16966.72,4467,3420.72
DRG192,PID520083,RIDWIMadison,59,15744.59,4953.62,4059.42
DRG192,PID520089,RIDWIMadison,35,17857.91,5177.74,4274.88
DRG192,PID520095,RIDWIMadison,17,11730.23,4752.64,3715.41
DRG192,PID520098,RIDWIMadison,20,14267.65,7645.4,6747.8
DRG192,PID520100,RIDWIMadison,41,19242.51,4488.04,3347.04
DRG192,PID520109,RIDWIMadison,13,14423.61,4858,4081.69
DRG193,PID520028,RIDWIMadison,17,27804.47,8729.47,8135.82
DRG193,PID520041,RIDWIMadison,16,30200.5,10245.25,9511.37
DRG193,PID520057,RIDWIMadison,16,31563.87,9950.18,9321.43
DRG193,PID520066,RIDWIMadison,73,25153.52,9130.41,8298.73
DRG193,PID520071,RIDWIMadison,26,20236.03,8551.38,7396.34
DRG193,PID520083,RIDWIMadison,90,35644.01,10617.62,9680.82
DRG193,PID520089,RIDWIMadison,59,41938.81,11148.93,9928.47
DRG193,PID520098,RIDWIMadison,43,28251.41,15824.13,13676.97
DRG193,PID520100,RIDWIMadison,25,37829.92,8918.12,8153.48
DRG193,PID520109,RIDWIMadison,13,23862,9362.07,8755
DRG193,PID520116,RIDWIMadison,17,21089.11,9093.94,8631.58
DRG194,PID520028,RIDWIMadison,86,17628.5,6337.72,5243.51
DRG194,PID520041,RIDWIMadison,51,16398.7,7133.01,6050.92
DRG194,PID520057,RIDWIMadison,60,20040,6851.23,5682.35
DRG194,PID520066,RIDWIMadison,110,18242.82,6305.8,5406.67
DRG194,PID520071,RIDWIMadison,53,11338.33,5923.96,4949.32
DRG194,PID520076,RIDWIMadison,28,19234.64,6041.89,4835.32
DRG194,PID520083,RIDWIMadison,167,19841.31,6928.75,5845.56
DRG194,PID520089,RIDWIMadison,104,23930.85,7464.1,6156.86
DRG194,PID520095,RIDWIMadison,23,16314.43,6611.21,5781.47
DRG194,PID520098,RIDWIMadison,97,15658.5,10125.12,8285.41
DRG194,PID520100,RIDWIMadison,47,25850.27,6332.04,5141.46
DRG194,PID520109,RIDWIMadison,29,19175.51,6621.75,5731.68
DRG194,PID520116,RIDWIMadison,54,15319.88,6814.05,5492.7
DRG195,PID520028,RIDWIMadison,30,12833.96,4429.23,3454.56
DRG195,PID520041,RIDWIMadison,31,12879.29,5002.77,4202.51
DRG195,PID520057,RIDWIMadison,26,13951.26,4770.11,3777.34
DRG195,PID520066,RIDWIMadison,29,14705.72,4485.13,3636.31
DRG195,PID520071,RIDWIMadison,21,13801.33,4225.42,3315.14
DRG195,PID520076,RIDWIMadison,34,18550.61,4509.35,3333.91
DRG195,PID520083,RIDWIMadison,71,14932.38,4827.83,3857.32
DRG195,PID520089,RIDWIMadison,34,16750.61,5089.05,4297.52
DRG195,PID520095,RIDWIMadison,12,12779.5,4820.66,3694
DRG195,PID520098,RIDWIMadison,33,9980.36,6954.33,6026.03
DRG195,PID520100,RIDWIMadison,15,19915.26,4760.73,3038.13
DRG195,PID520109,RIDWIMadison,30,13966.93,4719.8,3781.8
DRG195,PID520116,RIDWIMadison,17,14105.82,4745.41,3826.35
DRG202,PID520083,RIDWIMadison,15,15983.06,5588.46,4577.8
DRG202,PID520089,RIDWIMadison,19,16738.94,6001.26,5170.52
DRG202,PID520098,RIDWIMadison,16,17654.12,8718.37,7167.68
DRG202,PID520100,RIDWIMadison,17,18337,5703,3723.94
DRG203,PID520083,RIDWIMadison,16,12193.31,4045.75,2925
DRG203,PID520089,RIDWIMadison,11,13278.72,4349.63,3429.27
DRG203,PID520100,RIDWIMadison,13,15387.92,3615.23,2664.76
DRG207,PID520083,RIDWIMadison,23,122918.21,39986.26,35005.86
DRG207,PID520089,RIDWIMadison,14,242784.28,61774,60664.35
DRG207,PID520098,RIDWIMadison,24,149099.87,61118.29,60465.62
DRG208,PID520066,RIDWIMadison,23,45544.6,14004.52,13345.65
DRG208,PID520083,RIDWIMadison,49,49650.2,15805.55,14460.38
DRG208,PID520089,RIDWIMadison,11,82249.09,17537.54,17023
DRG208,PID520098,RIDWIMadison,41,50655.26,23817.24,19337.39
DRG208,PID520100,RIDWIMadison,13,69307.92,17952.92,15253.69
DRG238,PID520066,RIDWIMadison,14,77887.78,19048.78,18087.64
DRG238,PID520083,RIDWIMadison,55,64849.5,21976.12,17971.2
DRG238,PID520089,RIDWIMadison,13,59038.15,21710.76,20844.92
DRG238,PID520098,RIDWIMadison,89,88052.78,31203.69,28782.61
DRG243,PID520083,RIDWIMadison,31,49878.25,17468.38,16263.19
DRG243,PID520089,RIDWIMadison,29,57549.44,18102.27,17326
DRG243,PID520098,RIDWIMadison,24,50457.54,23207,22273
DRG244,PID520083,RIDWIMadison,29,42595.27,13552.75,12419.62
DRG244,PID520089,RIDWIMadison,28,51562.78,14517.53,13678.82
DRG244,PID520098,RIDWIMadison,16,40494.62,18445.31,17533.56
DRG246,PID520083,RIDWIMadison,54,64509.33,22490.51,19722.16
DRG246,PID520089,RIDWIMadison,25,81425.52,22507.04,21743.68
DRG246,PID520098,RIDWIMadison,37,65998.62,29895.91,25405.02
DRG247,PID520066,RIDWIMadison,44,54106.75,12113.52,11141.7
DRG247,PID520083,RIDWIMadison,140,46868.47,13315.89,11813.51
DRG247,PID520089,RIDWIMadison,124,63792.97,14740.25,12936.82
DRG247,PID520098,RIDWIMadison,85,52900.41,18806.69,16037.32
DRG247,PID520100,RIDWIMadison,11,66171.36,17170.63,10179.81
DRG249,PID520066,RIDWIMadison,14,66551.57,11261.28,10374.14
DRG249,PID520083,RIDWIMadison,47,41763.17,12983.4,10221.97
DRG249,PID520089,RIDWIMadison,35,56187.68,15021,11007.45
DRG249,PID520098,RIDWIMadison,12,46780.5,15890.66,14950
DRG251,PID520083,RIDWIMadison,33,42426.3,12202.87,11024.39
DRG251,PID520089,RIDWIMadison,30,48323.9,13557.03,12767.8
DRG251,PID520098,RIDWIMadison,20,48562.65,17145.85,15195.55
DRG252,PID520083,RIDWIMadison,20,55868.8,20667.15,20110.7
DRG252,PID520089,RIDWIMadison,13,90604.53,22657.69,22050.61
DRG252,PID520098,RIDWIMadison,29,100837.24,49091.89,37376.44
DRG253,PID520066,RIDWIMadison,13,72928.15,15027.23,14250.92
DRG253,PID520083,RIDWIMadison,28,47992.78,16219.6,15064.96
