drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID50390,RIDCASanBernardino,19,36866.31,7513.31,6508.89
DRG057,PID50022,RIDCASanBernardino,13,61688.53,8065.38,7199.53
DRG057,PID50300,RIDCASanBernardino,17,36551.82,7059,6136.17
DRG057,PID50327,RIDCASanBernardino,13,25208.84,9939.84,9161.07
DRG064,PID50022,RIDCASanBernardino,47,109119.72,17255.23,16514.72
DRG064,PID50099,RIDCASanBernardino,22,54804.45,12574.27,11603.9
DRG064,PID50102,RIDCASanBernardino,11,68927.27,15555,13192.09
DRG064,PID50129,RIDCASanBernardino,27,86116.85,18535.37,17910.03
DRG064,PID50245,RIDCASanBernardino,13,40719.46,20505.46,19642.07
DRG064,PID50272,RIDCASanBernardino,11,50304.81,11615.63,10795.27
DRG064,PID50292,RIDCASanBernardino,15,105694.13,21250.93,20462.86
DRG064,PID50300,RIDCASanBernardino,19,54122.05,13772.1,13135.84
DRG064,PID50327,RIDCASanBernardino,74,90608.47,22070.33,21148.83
DRG064,PID50390,RIDCASanBernardino,18,43082,12518.38,11643.27
DRG064,PID50586,RIDCASanBernardino,16,32813.56,14637.43,13710
DRG064,PID50709,RIDCASanBernardino,17,34687.58,12639.29,12082.47
DRG065,PID50022,RIDCASanBernardino,45,56524.11,9941.33,8712.04
DRG065,PID50054,RIDCASanBernardino,13,27787.61,8400.84,7573.15
DRG065,PID50089,RIDCASanBernardino,18,33549.38,10941.22,10254.77
DRG065,PID50099,RIDCASanBernardino,49,37370.4,8161.36,6426.1
DRG065,PID50102,RIDCASanBernardino,11,41239.09,9789.18,8977.54
DRG065,PID50129,RIDCASanBernardino,21,35125.47,9289,8486.52
DRG065,PID50245,RIDCASanBernardino,14,48277.28,13432.64,12559.21
DRG065,PID50272,RIDCASanBernardino,11,44094.63,8051.63,7025.45
DRG065,PID50292,RIDCASanBernardino,16,54421.81,11163.62,10276.06
DRG065,PID50300,RIDCASanBernardino,44,39169.27,8806,7836.36
DRG065,PID50327,RIDCASanBernardino,55,37681.67,12534.67,11777.8
DRG065,PID50390,RIDCASanBernardino,53,22765.16,8211.09,7342.03
DRG065,PID50709,RIDCASanBernardino,15,27739.06,8239,7337.66
DRG066,PID50022,RIDCASanBernardino,26,35704.19,6753,5580.07
DRG066,PID50099,RIDCASanBernardino,28,28537.57,5607.21,4643.85
DRG066,PID50129,RIDCASanBernardino,11,40544.09,6772.18,5646
DRG066,PID50245,RIDCASanBernardino,36,37723.66,10284.33,9085.44
DRG066,PID50292,RIDCASanBernardino,11,37045.09,7803.9,6886.45
DRG066,PID50300,RIDCASanBernardino,29,31687.37,6182.41,5094.96
DRG066,PID50327,RIDCASanBernardino,33,27542.36,8866.93,7978.93
DRG066,PID50390,RIDCASanBernardino,26,17941,5999,5006.23
DRG069,PID50022,RIDCASanBernardino,23,46040,6100.52,5161.17
DRG069,PID50099,RIDCASanBernardino,15,32377.73,5087.8,4195
DRG069,PID50102,RIDCASanBernardino,12,29416,6142,5392.66
DRG069,PID50129,RIDCASanBernardino,26,40806.3,6831.11,5921.69
DRG069,PID50245,RIDCASanBernardino,21,20665.42,8188.14,7441.09
DRG069,PID50292,RIDCASanBernardino,16,32025.56,7035.81,6128.06
DRG069,PID50300,RIDCASanBernardino,48,24849,5516.91,4465
DRG069,PID50327,RIDCASanBernardino,18,25099.33,8027.27,7148.61
DRG069,PID50390,RIDCASanBernardino,41,17318.26,5408.19,4478.82
DRG069,PID50684,RIDCASanBernardino,20,17836,4856.8,3789.4
DRG069,PID50709,RIDCASanBernardino,15,17491.66,5163,4115
DRG074,PID50099,RIDCASanBernardino,12,35902.58,5988.83,5220.58
DRG074,PID50586,RIDCASanBernardino,63,18877.2,6863,6112.39
DRG074,PID50684,RIDCASanBernardino,12,19977.08,5689,5408.66
DRG101,PID50022,RIDCASanBernardino,25,42949.44,6546.92,5739.56
DRG101,PID50099,RIDCASanBernardino,11,30666.09,5171,4453.54
DRG101,PID50129,RIDCASanBernardino,14,30261.07,6297.14,5174.28
DRG101,PID50292,RIDCASanBernardino,13,32544.69,7268.38,6405
DRG101,PID50300,RIDCASanBernardino,11,42243.54,5889.63,5172.18
DRG101,PID50327,RIDCASanBernardino,32,37427.53,8624.93,7604.06
DRG101,PID50390,RIDCASanBernardino,23,15832.39,5423.26,4738.39
DRG101,PID50709,RIDCASanBernardino,23,16729,5313.17,4559.6
DRG149,PID50022,RIDCASanBernardino,12,44335.66,5427.16,4392.16
DRG149,PID50300,RIDCASanBernardino,11,34030.36,4815.72,3683.72
DRG149,PID50586,RIDCASanBernardino,22,15767.68,5095,4020.27
DRG149,PID50709,RIDCASanBernardino,11,22012.63,4512,3597.45
DRG176,PID50099,RIDCASanBernardino,11,34771.18,6902.09,6190.45
DRG176,PID50300,RIDCASanBernardino,12,42821.33,8074.08,7227.75
DRG176,PID50448,RIDCASanBernardino,12,31973.25,9084,7960
DRG177,PID50022,RIDCASanBernardino,27,166323.92,22559.66,21548.03
DRG177,PID50099,RIDCASanBernardino,82,65464.42,13954.01,13305.82
DRG177,PID50102,RIDCASanBernardino,13,123543.07,21989.38,18531.38
DRG177,PID50129,RIDCASanBernardino,13,105740.46,17337.23,16602
DRG177,PID50272,RIDCASanBernardino,11,83034.45,14658.36,13946.72
DRG177,PID50300,RIDCASanBernardino,16,76404.81,16401.25,15695.75
DRG177,PID50327,RIDCASanBernardino,14,115627.07,25210.92,24263
DRG177,PID50390,RIDCASanBernardino,17,47953.23,14789.47,14456.52
DRG177,PID50586,RIDCASanBernardino,133,38994.54,15694.72,14874
DRG177,PID50709,RIDCASanBernardino,15,64243.53,14336.46,13558.2
DRG178,PID50022,RIDCASanBernardino,21,84881.57,12910.95,12078.47
DRG178,PID50099,RIDCASanBernardino,25,47155.36,10186.28,9469.48
DRG178,PID50102,RIDCASanBernardino,11,94878.27,17500.18,16457.81
DRG178,PID50129,RIDCASanBernardino,24,50320.5,12630.54,9976
DRG178,PID50272,RIDCASanBernardino,25,67122.8,10371.84,9743.04
DRG178,PID50300,RIDCASanBernardino,14,45999.28,11142.42,10417
DRG178,PID50390,RIDCASanBernardino,11,35650.9,10432.72,10021.09
DRG178,PID50586,RIDCASanBernardino,21,25156.09,11811.42,11116.76
DRG189,PID50022,RIDCASanBernardino,20,77533.85,10835.3,10201.75
DRG189,PID50089,RIDCASanBernardino,33,69063.51,12739.69,12245.48
DRG189,PID50099,RIDCASanBernardino,35,46905.51,8930.02,8192.54
DRG189,PID50102,RIDCASanBernardino,23,85740.17,13431.78,12721
DRG189,PID50129,RIDCASanBernardino,40,71447.77,10593.82,9995.25
DRG189,PID50140,RIDCASanBernardino,33,16664.75,8471.15,7822.3
DRG189,PID50300,RIDCASanBernardino,21,43479.66,9683.33,9047.14
DRG189,PID50327,RIDCASanBernardino,46,60776.82,15214.97,14484
DRG189,PID50390,RIDCASanBernardino,41,39188.36,9346.7,8688.75
DRG189,PID50586,RIDCASanBernardino,39,25400.94,10145.28,8992.71
DRG189,PID50684,RIDCASanBernardino,23,40116.56,8520.21,7984.39
DRG189,PID50709,RIDCASanBernardino,34,31442.7,9045,8281.94
DRG190,PID50022,RIDCASanBernardino,64,61920.37,9793.59,8956.76
DRG190,PID50054,RIDCASanBernardino,21,26112.9,8956.61,8155.66
DRG190,PID50089,RIDCASanBernardino,20,60307.5,11996.85,11169.6
DRG190,PID50099,RIDCASanBernardino,22,37420.68,8089.77,7295.13
DRG190,PID50102,RIDCASanBernardino,39,39409.53,9755,9048.79
DRG190,PID50129,RIDCASanBernardino,39,48492.51,11489.82,8501.28
DRG190,PID50245,RIDCASanBernardino,15,49093.13,14350.46,13455.53
DRG190,PID50272,RIDCASanBernardino,14,55795.42,7979.21,7258.35
DRG190,PID50298,RIDCASanBernardino,24,47479.16,10499.95,9901.25
DRG190,PID50300,RIDCASanBernardino,86,40978.05,8989.31,8169.58
DRG190,PID50327,RIDCASanBernardino,27,47280.4,14227.33,11935.59
DRG190,PID50390,RIDCASanBernardino,87,31300.34,8659.49,7945.75
DRG190,PID50448,RIDCASanBernardino,15,31786.33,10055.66,9333.26
DRG190,PID50517,RIDCASanBernardino,20,34379.3,10507.75,9608.55
DRG190,PID50586,RIDCASanBernardino,13,21726.92,9346.53,8824.07
DRG190,PID50684,RIDCASanBernardino,33,32841.75,7802.36,7087.81
DRG190,PID50709,RIDCASanBernardino,30,32540.26,8388.83,7830.36
DRG190,PID50765,RIDCASanBernardino,11,26725.09,7513,6778.54
DRG191,PID50022,RIDCASanBernardino,30,69000.23,9124.66,7408.46
DRG191,PID50089,RIDCASanBernardino,13,59774.92,9793.84,8993.92
DRG191,PID50102,RIDCASanBernardino,16,40193.93,8066.93,7432.18
DRG191,PID50129,RIDCASanBernardino,32,36783.5,7998.71,6946.46
DRG191,PID50245,RIDCASanBernardino,12,50231.91,13687.25,13034.91
DRG191,PID50272,RIDCASanBernardino,15,34304.2,6166.86,5498.33
DRG191,PID50298,RIDCASanBernardino,12,50726.08,8607,7857.66
DRG191,PID50300,RIDCASanBernardino,55,40582.76,7260.2,6486.23
DRG191,PID50327,RIDCASanBernardino,19,22718,10521.78,9283.05
DRG191,PID50390,RIDCASanBernardino,90,21753.37,7198.22,6562.08
DRG191,PID50448,RIDCASanBernardino,13,27347.76,8260,7478.76
DRG191,PID50586,RIDCASanBernardino,14,19253.28,7384.5,6659.07
DRG191,PID50684,RIDCASanBernardino,45,28525.91,6448.64,5750.68
DRG191,PID50709,RIDCASanBernardino,20,23010.95,6638.85,5741.25
DRG192,PID50022,RIDCASanBernardino,31,43137.67,6124.87,5217.12
DRG192,PID50054,RIDCASanBernardino,15,23235.93,5365.46,4543.86
DRG192,PID50089,RIDCASanBernardino,34,33548.85,7109.44,6418.73
DRG192,PID50102,RIDCASanBernardino,16,27356.93,6092,4623
DRG192,PID50129,RIDCASanBernardino,18,28634.38,5965.11,5217.55
DRG192,PID50245,RIDCASanBernardino,26,23627.07,8306.76,7413.38
DRG192,PID50298,RIDCASanBernardino,22,39607.95,6374.95,5507.5
DRG192,PID50300,RIDCASanBernardino,36,29942.16,5432.91,4530.8
DRG192,PID50390,RIDCASanBernardino,60,20563.93,5344,4575.8
DRG192,PID50448,RIDCASanBernardino,20,25049.45,6126,5168.6
DRG192,PID50517,RIDCASanBernardino,12,28821.5,6544,6172
DRG192,PID50684,RIDCASanBernardino,32,25460.31,4802.06,3887.31
DRG192,PID50709,RIDCASanBernardino,20,21292,5081.6,4237.4
DRG193,PID50022,RIDCASanBernardino,61,96137.29,14203.34,13190.62
DRG193,PID50054,RIDCASanBernardino,21,48012.57,11509.9,10620.95
DRG193,PID50089,RIDCASanBernardino,18,88310.77,14818.72,14134.05
DRG193,PID50099,RIDCASanBernardino,103,49511.23,10334.92,9121.84
DRG193,PID50102,RIDCASanBernardino,29,61948.96,13338.03,11599.31
DRG193,PID50129,RIDCASanBernardino,58,58100.32,11895.39,10890.2
DRG193,PID50140,RIDCASanBernardino,15,14253.73,8647.8,8199.26
DRG193,PID50245,RIDCASanBernardino,18,49699.38,16989.05,15975.83
DRG193,PID50272,RIDCASanBernardino,29,56508.44,9346.48,8531.17
DRG193,PID50292,RIDCASanBernardino,23,62893.43,14816.69,14004.95
DRG193,PID50298,RIDCASanBernardino,20,70223.55,12390.8,11828
DRG193,PID50300,RIDCASanBernardino,59,46403.62,11031.81,10421.64
DRG193,PID50327,RIDCASanBernardino,41,50935.58,16804.92,16117.82
DRG193,PID50390,RIDCASanBernardino,73,36142.76,10707.86,10044.13
DRG193,PID50448,RIDCASanBernardino,11,56433.81,15687.18,14819.54
DRG193,PID50517,RIDCASanBernardino,14,44509.92,13176,12293.42
DRG193,PID50684,RIDCASanBernardino,24,42052.12,9599.58,9177.75
DRG193,PID50709,RIDCASanBernardino,77,35975.14,10015.35,9285.66
DRG194,PID50022,RIDCASanBernardino,69,54718.62,8862.02,7499.37
DRG194,PID50054,RIDCASanBernardino,39,32106.15,7667.61,6854.79
DRG194,PID50089,RIDCASanBernardino,24,39970.62,9485.66,8735
DRG194,PID50099,RIDCASanBernardino,77,33109.74,6710.75,5735.7
DRG194,PID50102,RIDCASanBernardino,48,44124.54,8469.87,7370.06
DRG194,PID50129,RIDCASanBernardino,62,47534.37,7956.08,7156.33
DRG194,PID50140,RIDCASanBernardino,13,13963.38,6669.69,5978
DRG194,PID50245,RIDCASanBernardino,22,24088.54,10857.09,10091.09
DRG194,PID50272,RIDCASanBernardino,71,45487.97,6812.7,5860.77
DRG194,PID50292,RIDCASanBernardino,23,46006.08,9632.47,8635.34
DRG194,PID50298,RIDCASanBernardino,17,57927.29,10317.52,7766.05
DRG194,PID50300,RIDCASanBernardino,62,44422,7649.54,6887.35
DRG194,PID50327,RIDCASanBernardino,43,31445.51,11144.27,10437.2
DRG194,PID50390,RIDCASanBernardino,61,28318.96,7534.59,6426.06
DRG194,PID50448,RIDCASanBernardino,52,32181.98,9989.94,7472.86
DRG194,PID50517,RIDCASanBernardino,22,27856.22,9062.54,8248
DRG194,PID50684,RIDCASanBernardino,24,26769.75,6767.66,5835
DRG194,PID50686,RIDCASanBernardino,13,12403.53,6769.38,6080.15
DRG194,PID50709,RIDCASanBernardino,41,28580.46,7052.41,6226.34
DRG194,PID50765,RIDCASanBernardino,16,22855.81,6320.75,5475.75
DRG195,PID50022,RIDCASanBernardino,28,33623.28,6126.25,4878.53
DRG195,PID50054,RIDCASanBernardino,15,26241.33,5273.13,4294.2
DRG195,PID50099,RIDCASanBernardino,25,27494.8,5145.24,3833.24
DRG195,PID50102,RIDCASanBernardino,21,42498.9,6483.38,5625.47
DRG195,PID50129,RIDCASanBernardino,14,37989.5,5868,4980.85
DRG195,PID50245,RIDCASanBernardino,15,28828.06,8225.86,7246.93
DRG195,PID50272,RIDCASanBernardino,25,36981.88,6521.76,3529.64
DRG195,PID50292,RIDCASanBernardino,12,28517.5,6781.16,5848.5
DRG195,PID50298,RIDCASanBernardino,12,46090.75,6274,5524.66
DRG195,PID50300,RIDCASanBernardino,16,29887.56,5402.75,4051.25
DRG195,PID50390,RIDCASanBernardino,17,23110.23,5819.7,3999.52
DRG195,PID50448,RIDCASanBernardino,20,32173.95,6021,4884
DRG195,PID50618,RIDCASanBernardino,12,13688.41,8704.58,7156.75
DRG202,PID50327,RIDCASanBernardino,13,25297.76,9126.92,8435.23
DRG203,PID50089,RIDCASanBernardino,11,34804.72,6133,5618.45
DRG207,PID50022,RIDCASanBernardino,27,353588.59,48591.37,48208.33
DRG207,PID50054,RIDCASanBernardino,15,136133.8,41168.33,40274.13
DRG207,PID50089,RIDCASanBernardino,12,211085.83,42788.5,41947.5
DRG207,PID50099,RIDCASanBernardino,25,130658.36,26471.64,25728.68
DRG207,PID50102,RIDCASanBernardino,13,228625.07,51858.38,48660.76
DRG207,PID50129,RIDCASanBernardino,25,157228.6,32874.36,32064.44
DRG207,PID50272,RIDCASanBernardino,16,139766.06,32679.62,31978.12
DRG207,PID50327,RIDCASanBernardino,29,268793.41,56623,55667.79
DRG207,PID50390,RIDCASanBernardino,15,122540.66,34545,33624.8
DRG208,PID50022,RIDCASanBernardino,20,125834.9,24494.2,16151.75
DRG208,PID50054,RIDCASanBernardino,15,71848.13,18645.33,17844.66
