drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID220046,RIDNYAlbany,29,19110.44,9233.62,6425.44
DRG039,PID330013,RIDNYAlbany,72,19226.16,7478.16,6554.31
DRG039,PID330023,RIDNYAlbany,39,25330.12,7125.12,6116.61
DRG039,PID330057,RIDNYAlbany,37,14540.83,5467.37,4434.64
DRG039,PID330067,RIDNYAlbany,18,24503.5,8207.94,6799.44
DRG039,PID330136,RIDNYAlbany,23,16593.95,9293.78,7284.86
DRG039,PID330153,RIDNYAlbany,20,13866.1,5918.3,4854.1
DRG039,PID330191,RIDNYAlbany,15,9887.86,5526.6,4707.13
DRG039,PID330222,RIDNYAlbany,17,16751.11,5372.58,4257.52
DRG039,PID330224,RIDNYAlbany,22,18943.95,6638.77,5664.04
DRG057,PID220046,RIDNYAlbany,22,11164.95,7353.09,6431.27
DRG057,PID330004,RIDNYAlbany,50,26906.38,7053.44,5912.58
DRG057,PID330013,RIDNYAlbany,33,33662.39,9150.9,7110.48
DRG057,PID330023,RIDNYAlbany,48,32914.27,6489.6,5577.85
DRG057,PID330047,RIDNYAlbany,11,13079.63,4809.45,3889.09
DRG057,PID330049,RIDNYAlbany,17,22839.76,6248,5454.58
DRG057,PID330057,RIDNYAlbany,17,23797.88,5746.47,4843.58
DRG057,PID330067,RIDNYAlbany,43,27756.79,7456.95,6749.13
DRG057,PID330094,RIDNYAlbany,20,13239.2,5977.3,4676.7
DRG057,PID330136,RIDNYAlbany,13,13748.61,8304.15,7448.15
DRG057,PID330153,RIDNYAlbany,11,16065.63,5521.72,4804.27
DRG057,PID330180,RIDNYAlbany,17,14177.23,5047.29,4191.05
DRG057,PID330191,RIDNYAlbany,25,11924.36,4665.08,3809.88
DRG057,PID330222,RIDNYAlbany,12,15246.41,4933.33,4000.66
DRG057,PID330232,RIDNYAlbany,11,17348.72,5329.45,3868.09
DRG064,PID220046,RIDNYAlbany,35,21652.08,14019.17,13311.31
DRG064,PID330004,RIDNYAlbany,19,51046.31,13737.15,12971.05
DRG064,PID330013,RIDNYAlbany,66,71640.65,17892.74,15220.28
DRG064,PID330023,RIDNYAlbany,55,60940.9,13621.94,12823.34
DRG064,PID330057,RIDNYAlbany,47,37165.95,10413.14,8976.08
DRG064,PID330136,RIDNYAlbany,18,26030.33,16824.11,16119.11
DRG064,PID330153,RIDNYAlbany,50,35772.16,11384.18,10530.26
DRG064,PID330180,RIDNYAlbany,16,20968.68,9906,8832.25
DRG064,PID330191,RIDNYAlbany,34,21530.23,9946.44,9227.94
DRG065,PID220046,RIDNYAlbany,89,14192.37,8701.44,7791.78
DRG065,PID330003,RIDNYAlbany,14,17259.21,6193.5,5146.92
DRG065,PID330004,RIDNYAlbany,44,31281.7,8428.02,7561.29
DRG065,PID330013,RIDNYAlbany,92,56421.52,10415.48,9288.08
DRG065,PID330023,RIDNYAlbany,75,39741.33,8375.41,7399.89
DRG065,PID330047,RIDNYAlbany,26,16834.8,6121.23,5305.07
DRG065,PID330049,RIDNYAlbany,19,30739.68,7796,6965.26
DRG065,PID330057,RIDNYAlbany,66,25176.3,6239.65,5099.15
DRG065,PID330067,RIDNYAlbany,17,64825.29,9597.29,8672.58
DRG065,PID330094,RIDNYAlbany,29,15140.62,6851.27,6038.17
DRG065,PID330136,RIDNYAlbany,42,17012.95,10554.14,9293.95
DRG065,PID330153,RIDNYAlbany,108,23577.52,6470.28,5574.8
DRG065,PID330180,RIDNYAlbany,19,14702.57,6173.36,5284.73
DRG065,PID330191,RIDNYAlbany,45,14048.17,6220,5322.93
DRG065,PID330222,RIDNYAlbany,16,19382.62,6166.93,5111.68
DRG065,PID330232,RIDNYAlbany,19,26976.68,6843.42,5847.42
DRG065,PID330386,RIDNYAlbany,21,22635.04,8608,6506.23
DRG065,PID470012,RIDNYAlbany,27,12755.11,7245.22,6143.59
DRG066,PID220046,RIDNYAlbany,34,11282.97,6456.14,5493.44
DRG066,PID330003,RIDNYAlbany,19,9929,4259.57,3253.47
DRG066,PID330004,RIDNYAlbany,54,22789,6047.2,5009.12
DRG066,PID330013,RIDNYAlbany,74,37924.59,7259.6,5746.68
DRG066,PID330023,RIDNYAlbany,29,29539.2,5735.27,4727
DRG066,PID330057,RIDNYAlbany,29,19816.65,4752.75,3293.44
DRG066,PID330067,RIDNYAlbany,14,30515.28,6614.07,5814.64
DRG066,PID330094,RIDNYAlbany,16,14033.56,4904.87,3853.62
DRG066,PID330136,RIDNYAlbany,17,14398.11,7339.64,6348.35
DRG066,PID330153,RIDNYAlbany,47,17759.21,4960.44,3886.76
DRG066,PID330191,RIDNYAlbany,20,9588,4602.7,3157.15
DRG066,PID470012,RIDNYAlbany,17,12444.52,5212.17,4348.41
DRG069,PID220046,RIDNYAlbany,35,11267.6,5802,4804.85
DRG069,PID330003,RIDNYAlbany,17,10366.29,3952.41,3092.41
DRG069,PID330004,RIDNYAlbany,91,20819.98,5362.74,4328.14
DRG069,PID330013,RIDNYAlbany,64,32612.57,5883.39,4626.34
DRG069,PID330023,RIDNYAlbany,105,30580.94,5145.58,4157.99
DRG069,PID330047,RIDNYAlbany,26,11858.92,4049.61,3096.69
DRG069,PID330049,RIDNYAlbany,11,22273.54,4885,4067.54
DRG069,PID330057,RIDNYAlbany,52,19715.17,4000.01,3113.63
DRG069,PID330067,RIDNYAlbany,15,29113.2,5843.93,4663.86
DRG069,PID330094,RIDNYAlbany,30,10116.1,4446.46,3546.2
DRG069,PID330136,RIDNYAlbany,26,11276.03,6607.15,5350.69
DRG069,PID330153,RIDNYAlbany,71,14565.04,4317.21,3330.5
DRG069,PID330180,RIDNYAlbany,29,11151.68,4060.65,3089.2
DRG069,PID330191,RIDNYAlbany,54,7876.33,4209.64,2921.66
DRG069,PID330222,RIDNYAlbany,17,15904.41,3860.47,2933.88
DRG069,PID330232,RIDNYAlbany,25,18564.44,4287.68,3206.08
DRG069,PID330276,RIDNYAlbany,21,14263.8,4683.42,3663.8
DRG069,PID330386,RIDNYAlbany,17,13921.23,5203,4278.29
DRG074,PID220046,RIDNYAlbany,11,11475.72,6771.81,5754.36
DRG074,PID330004,RIDNYAlbany,13,23462.76,6393.53,5535.07
DRG074,PID330013,RIDNYAlbany,17,25111.88,7030.29,6470.88
DRG074,PID330023,RIDNYAlbany,18,32588.61,6418.5,5203.11
DRG074,PID330057,RIDNYAlbany,25,16681.24,4737.96,4113
DRG074,PID330136,RIDNYAlbany,11,12077.18,9892.27,6254.9
DRG074,PID330153,RIDNYAlbany,13,17361.84,5150.38,4199.92
DRG074,PID330180,RIDNYAlbany,17,12706.58,4828.7,4366.35
DRG074,PID330191,RIDNYAlbany,23,17162.21,6487.13,4143.17
DRG101,PID220046,RIDNYAlbany,25,9855.72,5970,5112.24
DRG101,PID330004,RIDNYAlbany,49,20792.95,5610.04,4811.81
DRG101,PID330013,RIDNYAlbany,101,18670.31,5749.38,5014.73
DRG101,PID330023,RIDNYAlbany,58,26581.72,6087.48,4044.75
DRG101,PID330057,RIDNYAlbany,19,15187.84,4177.68,3089.36
DRG101,PID330067,RIDNYAlbany,27,34646.85,6265.11,5431.33
DRG101,PID330136,RIDNYAlbany,29,9233.27,6784.79,5896.93
DRG101,PID330153,RIDNYAlbany,27,11305.66,4389.07,3430.7
DRG101,PID330180,RIDNYAlbany,12,9727.91,4252.41,3500.41
DRG101,PID330191,RIDNYAlbany,27,9536.07,4136,3218.37
DRG101,PID330386,RIDNYAlbany,13,13712.23,5306.07,4447.61
DRG149,PID220046,RIDNYAlbany,11,9989.54,5078.27,4049.18
DRG149,PID330004,RIDNYAlbany,36,18986.44,4711.94,3901.5
DRG149,PID330013,RIDNYAlbany,28,22743.85,4983.07,4018.5
DRG149,PID330023,RIDNYAlbany,44,25019.52,4470.13,3449.04
DRG149,PID330057,RIDNYAlbany,25,15401.84,3495.84,2641.92
DRG149,PID330067,RIDNYAlbany,12,26766.58,5250.66,4307.33
DRG149,PID330094,RIDNYAlbany,16,7561.06,3894.25,2833
DRG149,PID330153,RIDNYAlbany,15,12826.26,3831.26,2781.13
DRG149,PID330191,RIDNYAlbany,23,8132.34,3470.13,2541.95
DRG149,PID330222,RIDNYAlbany,13,13191.61,3477.46,2069.84
